id,order,score,weight,color,label
Vin5 sSig,1,70,1,#5E4EA1,Vineyards / 5 senses / Sight
Vin5 sHea,2,10,1,#5E4EA1,Vineyards / 5 senses / Hearing
Vin5 sTou,3,10,0.33,#5E4EA1,Vineyards / 5 senses / Touch
Vin5 sSme,4,10,1,#5E4EA1,Vineyards / 5 senses / Smell
Vin5 s6th,5,50,1,#5E4EA1,Vineyards / 5 senses / 6th sense
VinLuxHer,6,80,1,#5E4EA1,Vineyards / Luxury / Heritage
VinLuxBra,7,80,1,#5E4EA1,Vineyards / Luxury / Brand
VinLuxPle,8,80,0.33,#5E4EA1,Vineyards / Luxury / Pleasure
VinLuxTra,9,10,1,#5E4EA1,Vineyards / Luxury / Transcendence
VinLuxUni,10,10,1,#5E4EA1,Vineyards / Luxury / Unique
VinLuxBes,11,10,0.67,#5E4EA1,Vineyards / Luxury / Bespoke
VinLuxCra,12,50,0.67,#5E4EA1,Vineyards / Luxury / Craftman
VinLuxBea,13,70,1,#5E4EA1,Vineyards / Luxury / Beauty
VinTouSus,14,90,1,#5E4EA1,Vineyards / Tourism / Sustainable
VinTouAut,15,50,1,#5E4EA1,Vineyards / Tourism / Authenticity
VinTouDis,16,50,0.67,#5E4EA1,Vineyards / Tourism / Discovery
VinTouCom,17,100,0.67,#5E4EA1,Vineyards / Tourism / Comfort
VinTouFre,18,100,1,#5E4EA1,Vineyards / Tourism / Freedom
VinTouEdu,19,80,0.33,#5E4EA1,Vineyards / Tourism / Educationnal
VinCliNeo,20,100,0.33,#5E4EA1,Vineyards / Client typology / Neophyte
VinCliHob,21,80,0.67,#5E4EA1,Vineyards / Client typology / Hobbyist
VinCliAfi,22,10,1,#5E4EA1,Vineyards / Client typology / Aficionado
Tas5 sSig,23,50,1,#E1514B,Tasting / 5 senses / Sight
Tas5 sHea,24,40,1,#E1514B,Tasting / 5 senses / Hearing
Tas5 sTas,25,100,1,#E1514B,Tasting / 5 senses / Taste
Tas5 sTou,26,10,0.67,#E1514B,Tasting / 5 senses / Touch
Tas5 sSme,27,100,0.67,#E1514B,Tasting / 5 senses / Smell
Tas5 s6th,28,10,1,#E1514B,Tasting / 5 senses / 6th sense
TasLuxHer,29,10,0.67,#E1514B,Tasting / Luxury / Heritage
TasLuxBra,30,10,0.67,#E1514B,Tasting / Luxury / Brand
TasLuxPle,31,70,1,#E1514B,Tasting / Luxury / Pleasure
TasLuxTra,32,30,1,#E1514B,Tasting / Luxury / Transcendence
TasLuxUni,33,30,1,#E1514B,Tasting / Luxury / Unique
TasLuxBes,34,20,0.67,#E1514B,Tasting / Luxury / Bespoke
TasLuxCra,35,90,1,#E1514B,Tasting / Luxury / Craftman
TasLuxBea,36,50,1,#E1514B,Tasting / Luxury / Beauty
TasTouSus,37,10,0.33,#E1514B,Tasting / Tourism / Sustainable
TasTouDis,38,40,0.33,#E1514B,Tasting / Tourism / Discovery
TasTouCom,39,60,1,#E1514B,Tasting / Tourism / Comfort
TasTouFre,40,70,0.33,#E1514B,Tasting / Tourism / Freedom
TasTouEdu,41,70,1,#E1514B,Tasting / Tourism / Educationnal
TasCliNeo,42,100,0.33,#E1514B,Tasting / Client typology / Neophyte
TasCliHob,43,80,0.67,#E1514B,Tasting / Client typology / Hobbyist
TasCliAfi,44,10,1,#E1514B,Tasting / Client typology / Aficionado
TasSerWel,45,100,1,#E1514B,Tasting / Service / Welcome
TasSerSpe,46,100,1,#E1514B,Tasting / Service / Speech
TasSerLoy,47,100,0.33,#E1514B,Tasting / Service / Loyalty program
F&B5 sSig,48,50,1,#FEC574,F&B / 5 senses / Sight
F&B5 sHea,49,60,0.67,#FEC574,F&B / 5 senses / Hearing
F&B5 sTas,50,70,1,#FEC574,F&B / 5 senses / Taste
F&B5 sSme,51,70,1,#FEC574,F&B / 5 senses / Smell
F&B5 s6th,52,40,1,#FEC574,F&B / 5 senses / 6th sense
F&BLuxHer,53,30,0.33,#FEC574,F&B / Luxury / Heritage
F&BLuxBra,54,30,0.33,#FEC574,F&B / Luxury / Brand
F&BLuxPle,55,80,1,#FEC574,F&B / Luxury / Pleasure
F&BLuxTra,56,20,0.67,#FEC574,F&B / Luxury / Transcendence
F&BLuxUni,57,30,1,#FEC574,F&B / Luxury / Unique
F&BLuxBes,58,30,1,#FEC574,F&B / Luxury / Bespoke
F&BLuxCra,59,30,0.67,#FEC574,F&B / Luxury / Craftman
F&BLuxBea,60,40,1,#FEC574,F&B / Luxury / Beauty
F&BTouSus,61,50,0.67,#FEC574,F&B / Tourism / Sustainable
F&BTouAut,62,40,1,#FEC574,F&B / Tourism / Authenticity
F&BTouDis,63,50,0.67,#FEC574,F&B / Tourism / Discovery
F&BTouCom,64,30,1,#FEC574,F&B / Tourism / Comfort
F&BTouFre,65,80,0.33,#FEC574,F&B / Tourism / Freedom
F&BTouEdu,66,60,0.33,#FEC574,F&B / Tourism / Educationnal
F&BCliNeo,67,100,0.33,#FEC574,F&B / Client typology / Neophyte
F&BCliHob,68,70,0.67,#FEC574,F&B / Client typology / Hobbyist
F&BCliAfi,69,30,1,#FEC574,F&B / Client typology / Aficionado
F&BSerWel,70,100,1,#FEC574,F&B / Service / Welcome
F&BSerSpe,71,80,0.33,#FEC574,F&B / Service / Speech
Ser5 sSig,72,40,0.33,#EAF195,Service / 5 senses / Sight
Ser5 sHea,73,100,0.33,#EAF195,Service / 5 senses / Hearing
Ser5 s6th,74,10,1,#EAF195,Service / 5 senses / 6th sense
SerLuxBra,75,30,0.33,#EAF195,Service / Luxury / Brand
SerLuxTra,76,50,0.33,#EAF195,Service / Luxury / Transcendence
SerLuxUni,77,50,0.33,#EAF195,Service / Luxury / Unique
SerLuxBes,78,40,1,#EAF195,Service / Luxury / Bespoke
SerLuxCra,79,70,1,#EAF195,Service / Luxury / Craftman
SerLuxBea,80,20,0.67,#EAF195,Service / Luxury / Beauty
SerTouAut,81,90,0.67,#EAF195,Service / Tourism / Authenticity
SerTouEdu,82,90,1,#EAF195,Service / Tourism / Educationnal
SerCliNeo,83,100,0.33,#EAF195,Service / Client typology / Neophyte
SerCliHob,84,80,0.67,#EAF195,Service / Client typology / Hobbyist
SerCliAfi,85,70,1,#EAF195,Service / Client typology / Aficionado
SerSerWel,86,100,1,#EAF195,Service / Service / Welcome
SerSerSpe,87,100,1,#EAF195,Service / Service / Speech
SerSerLoy,88,100,0.67,#EAF195,Service / Service / Loyalty program
